operator_id,player_id,first_name,last_name_01,last_name_02,sex,birthdate,document_type_id,identification_document,email,login,pseudonym,resident,address,country,telephone,activation_date,fiscal_region,payment_method_id,cnj_status,deposit_limit_day,deposit_limit_month,deposit_limit_year,vsvdi_status,vsvdi_date,vdocumental_status,vdocumental_date
1,1,Carmen,Roldan,Morán,F,1977-06-11,ID,4557265590522916,gimeneztrinidad@yahoo.com,gimeneztrinidad@yahoo.com,gimeneztrinidad,S,"Alameda de Celia Gonzalo 295 Puerta 0 
La Coruña, 73111",Spain,+34324443025,2014-01-15,05,16,PV,-1,-1,600,S,2014-02-06,S,2014-02-13
1,2,Mónica,Tejera,Lorenzo,M,1974-03-29,ID,180035746296514,antoniocalzada@hotmail.com,antoniocalzada@hotmail.com,antoniocalzada,S,"Paseo de Juana Vallés 2 Puerta 0 
Cuenca, 38351",Spain,+34457889613,2013-12-11,13,4,SC,600,1500,3000,S,2013-12-28,N,2013-12-13
1,3,Jose Francisco,Perera,Exposito,M,1984-02-12,DL,4054652581227,diego33@gmail.com,diego33@gmail.com,diego33,S,"Avenida de Patricia Montalbán 764
Vizcaya, 49063",Spain,+34966564631,2014-04-12,13,1,O,3000,600,1500,S,2014-05-05,N,2014-05-11
1,4,Carolina,Rovira,Avilés,F,1987-03-06,DL,6011970245234255,carlos39@simo.biz,carlos39@simo.biz,carlos39,S,"Vial Daniel Uriarte 8 Piso 4 
Zamora, 56220",Spain,+34830911205,2019-02-23,02,7,SC,600,-1,3000,S,2019-03-23,N,2019-03-05
1,5,Yolanda,Barrera,Prieto,M,1988-07-16,OT,3538851152826658,carlosurena@muro.biz,carlosurena@muro.biz,carlosurena,S,"Cañada de Anna Alcázar 23 Piso 4 
Segovia, 02663",Spain,+34030449030,2013-12-31,02,9,C,-1,3000,600,N,2014-01-26,S,2014-01-10
1,6,Eugenia,Piña,Iborra,F,1981-05-22,SS,6011776674153001,perelloalba@hotmail.com,perelloalba@hotmail.com,perelloalba,S,"Vial Gabriel Cid 597 Piso 2 
Palencia, 69995",Spain,+34732290698,2011-01-21,04,1,PV,-1,600,1500,N,2011-02-19,S,2011-01-30
1,7,Μαργαρίτα,Φουτσιτζής,Ιατρόπουλος,F,1971-02-08,DL,4289944768252069,choleva.katerina@solakoudis-moros.com,choleva.katerina@solakoudis-moros.com,choleva.katerina,N,"Καρπερής 4,
662 69 Πολύγυρος",Greece,2440159474,2012-07-30,10,5,SC,600,3000,1500,N,2012-08-13,N,2012-08-06
1,8,Jose Carlos,Garrido,Gracia,M,1985-04-22,SS,36882666999593,cuestaagustin@yahoo.com,cuestaagustin@yahoo.com,cuestaagustin,S,"Ronda Carolina Corbacho 58 Apt. 66 
Huelva, 60430",Spain,+34653065741,2010-11-16,15,1,SC,3000,3000,1500,N,2010-11-21,S,2010-11-24
1,9,Silvia,Navarro,Díaz,F,1993-07-24,PA,374754022079362,joaquin44@arenas.info,joaquin44@arenas.info,joaquin44,S,"Plaza Enrique Mateo 90
Cádiz, 82049",Spain,+34991061885,2010-04-10,13,13,PV,-1,1500,-1,S,2010-04-21,S,2010-05-07
1,10,Jose Ignacio,Berrocal,Gil,F,1982-09-16,ID,5153971376333445,qmarcos@yahoo.com,qmarcos@yahoo.com,qmarcos,S,"Plaza de Adriana Santamaria 51
Asturias, 45272",Spain,+34835929023,2017-03-23,02,3,A,1500,600,600,N,2017-04-19,S,2017-04-02
1,11,María,Clemente,Céspedes,F,1994-02-09,OT,3552158058692098,amparo59@redondo.com,amparo59@redondo.com,amparo59,S,"Cuesta de Nicolás Barceló 23 Piso 8 
Jaén, 47389",Spain,+34925235054,2012-08-13,06,8,AE,3000,-1,3000,N,2012-09-01,N,2012-09-10
1,12,Amparo,Quevedo,Redondo,M,1990-05-17,ID,501899092818,csolana@baron.com,csolana@baron.com,csolana,S,"Rambla de Carmen Chacón 7 Puerta 9 
Zaragoza, 83785",Spain,+34400233493,2016-09-14,16,6,C,-1,1500,3000,S,2016-09-21,N,2016-10-06
1,13,Luz,Manjón,Anguita,M,1996-09-16,OT,4441434416315844,ohervas@hotmail.com,ohervas@hotmail.com,ohervas,S,"Via de Óscar Gelabert 74 Piso 2 
La Coruña, 20950",Spain,+34248950067,2015-08-22,08,2,AC,600,3000,600,S,2015-09-21,N,2015-09-05
1,14,Miriam,Vergara,Gelabert,F,1999-03-27,ID,2222898117364146,andres29@yahoo.com,andres29@yahoo.com,andres29,S,"Acceso de Lidia Castell 59
Burgos, 53020",Spain,+34498642335,2013-10-12,04,20,AC,3000,600,3000,N,2013-10-24,S,2013-10-29
1,15,Iker,Boada,Collado,F,1989-10-27,ID,630419918788,hugoperales@martorell-bayon.com,hugoperales@martorell-bayon.com,hugoperales,S,"Rambla Victoria Casal 2 Piso 0 
Melilla, 20945",Spain,+34924955850,2013-02-23,13,1,A,3000,1500,3000,S,2013-02-28,N,2013-02-25
1,16,Jose Maria,Ferreras,Gálvez,M,1986-04-26,SS,213167544259674,vicentemoll@morera.info,vicentemoll@morera.info,vicentemoll,S,"Ronda Jose Ramon Alemán 913 Puerta 0 
Málaga, 28169",Spain,+34477554535,2016-12-23,22,20,SC,3000,1500,600,S,2017-01-06,S,2017-01-02
1,17,Lucía,Belmonte,Leon,F,1998-08-21,PA,38194511038926,barrancofrancisco@gmail.com,barrancofrancisco@gmail.com,barrancofrancisco,S,"Urbanización Encarnacion Gras 880 Piso 5 
Vizcaya, 42538",Spain,+34117163470,2018-02-26,11,18,PR,600,3000,3000,N,2018-03-25,N,2018-03-02
1,18,Ramon,Arrieta,Girona,F,1992-07-20,OT,30420516273905,mancebopedro@alberola.com,mancebopedro@alberola.com,mancebopedro,S,"Paseo Sofia Rubio 97 Puerta 5 
Ávila, 46105",Spain,+34827260788,2017-07-10,13,3,A,3000,1500,-1,N,2017-08-05,N,2017-07-26
1,19,Eugenia,Quesada,Carlos,F,1972-06-15,DL,4607253622932544318,cginer@sabater-acevedo.com,cginer@sabater-acevedo.com,cginer,S,"Rambla Juan Carlos Andreu 54
La Coruña, 57315",Spain,+34754921513,2018-09-28,09,18,O,3000,600,600,N,2018-10-09,N,2018-10-19
1,20,ნათელა,ნადირაძე,ისაევი,F,1992-03-21,SS,502049506814,chxaizemzia@hotmail.com,chxaizemzia@hotmail.com,chxaizemzia,N,"გაგარინი იურის ქ. 89, საჩხერე",Georgia,001-846-471-6957x438,2010-05-20,19,16,S,3000,1500,600,S,2010-06-18,S,2010-06-14
1,21,Nieves,Montaña,Camacho,F,1998-01-21,OT,2223098182693920,gflor@gmail.com,gflor@gmail.com,gflor,S,"Pasadizo de Mireia Llamas 80 Apt. 90 
Barcelona, 60952",Spain,+34908413862,2017-07-28,22,20,AE,-1,-1,-1,S,2017-08-02,S,2017-08-18
1,22,Juan Carlos,Bautista,Isern,F,1980-04-27,PA,6011418086655907,vicenta66@gisbert.com,vicenta66@gisbert.com,vicenta66,S,"Camino de Daniel Aguirre 22
Segovia, 22242",Spain,+34672944952,2019-05-10,15,18,O,1500,1500,3000,N,2019-05-29,S,2019-05-21
1,23,Ilija,Balić,Herout,M,1979-06-17,PA,6544553343188296,niksavaljetic@globalnet.hr,niksavaljetic@globalnet.hr,niksavaljetic,N,"Novi Goljak 5
44190 Kraljevica",Croatia,051419113,2012-06-04,16,6,PR,1500,1500,-1,S,2012-07-04,S,2012-07-04
1,24,Ana,Boada,Simó,M,1984-05-22,SS,5583039489742140,duranmontserrat@coca.info,duranmontserrat@coca.info,duranmontserrat,S,"Cuesta de Nerea Jaén 26 Piso 6 
Ciudad, 97763",Spain,+34602421928,2012-11-24,17,11,C,1500,-1,-1,S,2012-12-13,N,2012-12-15
