operator_id,player_id,first_name,last_name_01,last_name_02,sex,birthdate,document_type_id,identification_document,email,login,pseudonym,resident,address,country,telephone,activation_date,fiscal_region,payment_method_id,cnj_status,deposit_limit_day,deposit_limit_month,deposit_limit_year,vsvdi_status,vsvdi_date,vdocumental_status,vdocumental_date
1,1,Alba,Ramirez,Somoza,M,1988-09-08,PA,4991280621422,wrubio@gracia.com,wrubio@gracia.com,wrubio,S,"Paseo de Javier Portillo 43 Apt. 96 
Jaén, 13503",Spain,+34685850852,2015-09-17,01,7,PR,-1,-1,600,N,2015-10-11,N,2015-09-30
1,2,Carla,Gomila,Moreno,M,1986-02-24,ID,6525908285155971,bperalta@gmail.com,bperalta@gmail.com,bperalta,S,"Plaza Javier Garay 9
Asturias, 40083",Spain,+34526713049,2015-11-01,18,15,SC,3000,1500,1500,N,2015-11-04,N,2015-11-24
1,3,Enrique,Granados,Barrio,M,1997-09-29,ID,4239640031244262961,estebanamparo@castillo-valero.com,estebanamparo@castillo-valero.com,estebanamparo,S,"Cuesta Purificación Girón 390 Apt. 23 
Soria, 59667",Spain,+34068550013,2013-09-06,22,1,O,1500,1500,1500,S,2013-09-17,S,2013-09-21
1,4,Francisco Jose,Herrera,Rios,F,1994-04-11,PA,676323351665,gloria50@bejarano.com,gloria50@bejarano.com,gloria50,S,"Alameda Lorenzo Vara 83 Piso 4 
Ourense, 35252",Spain,+34553531985,2015-07-12,06,17,PV,3000,-1,-1,S,2015-07-25,S,2015-08-03
1,5,Sandra,Tejada,Yáñez,M,1973-05-08,SS,3598309250880819,jordibermejo@yahoo.com,jordibermejo@yahoo.com,jordibermejo,S,"Cañada de Nieves Llorens 169
León, 86907",Spain,+34877502872,2017-03-06,17,15,C,600,1500,-1,N,2017-03-20,S,2017-03-12
1,6,Tomás,Cid,Maza,F,1995-09-17,SS,370551084119746,concepcioncid@larranaga.com,concepcioncid@larranaga.com,concepcioncid,S,"Ronda de Josefa Viana 57 Apt. 26 
Ciudad, 21584",Spain,+34419122238,2012-02-20,21,20,SC,600,3000,-1,S,2012-03-05,S,2012-03-02
1,7,Jorge,Peñas,Vallejo,M,1980-01-25,OT,4056334248019323,ksoria@yahoo.com,ksoria@yahoo.com,ksoria,S,"Pasadizo Iker Vall 26
Sevilla, 52348",Spain,+34517988397,2010-08-11,20,19,SC,1500,-1,600,S,2010-08-30,N,2010-09-10
1,8,Ricardo,Sacristán,Barrio,F,1995-09-04,DL,4238875084372604262,ucerro@hotmail.com,ucerro@hotmail.com,ucerro,S,"Urbanización Alejandro Palomar 98
Baleares, 17663",Spain,+34770000939,2011-06-23,13,17,AC,1500,1500,600,N,2011-07-21,S,2011-07-06
1,9,Jose Antonio,Maestre,Vera,F,1984-01-13,SS,676340398681,celia86@nunez-marques.com,celia86@nunez-marques.com,celia86,S,"Urbanización Sandra Sarabia 87 Piso 2 
Santa Cruz de Tenerife, 52521",Spain,+34834869814,2017-12-08,12,13,S,-1,3000,-1,N,2017-12-13,S,2018-01-02
1,10,نازنين,الوندی,ربانی,M,1976-10-29,SS,30242631691864,hshtry@lmp.ir,hshtry@lmp.ir,hshtry,N,"5917 حسنی جزیره
بندر نازنين, آذربایجان غربی 0318","Iran, Islamic Republic of",+984535860288,2013-02-23,13,1,PR,-1,-1,1500,N,2013-03-11,S,2013-03-19
1,11,Ricardo,Amores,Rovira,M,1981-05-20,PA,30374769003263,secoteresa@hotmail.com,secoteresa@hotmail.com,secoteresa,S,"Glorieta Francisca Vilanova 257
La Coruña, 21971",Spain,+34210088732,2019-01-14,02,18,S,1500,-1,-1,S,2019-02-08,N,2019-01-24
1,12,Dolores,Marquez,Pedrosa,F,1977-10-29,ID,4484299838941271,josepsastre@gmail.com,josepsastre@gmail.com,josepsastre,S,"Plaza Elena Pulido 82
Barcelona, 29817",Spain,+34993608500,2013-04-02,01,3,S,3000,1500,1500,S,2013-04-23,S,2013-04-23
